"code";"name";"versjon"
"5032,5033,5034,5035,5036";"SELBU, TYDAL, MERÅKER, STJØRDAL, FROSTA";1
"5041,5042,5043,5044,5045,5046";"SNÅSA, LIERNE, RØYRVIK, NAMSSKOGAN, GRONG, HØYLANDET";1
"5403,5429";"ALTA, KVÆNANGEN";1
"5414,5415,5417";"GRATANGEN, LAVANGEN, SALANGEN";1
"5438,5439";"LEBESBY, GAMVIK";1
"5441,5442";"TANA, NESSEBY";1
"03";"Oslo";1
"11";"Rogaland";1
"15";"Møre og Romsdal";1
"18";"Nordland";1
"30";"Viken";1
"34";"Innlandet";1
"38";"Vestfold og Telemark";1
"42";"Agder";1
"46";"Vestland";1
"50";"Trøndelag - Trööndelage";1
"54";"Troms og Finnmark ? Romsa ja Finnmárku ? Tromssa ja Finmarkku";1
"0";"Norge";1
"2111";"Longyearbyen";1
"21";"Svalbard";1
