"kommunenummer_2018";"kommunenavn_2018";"kommunenummer_2019";"kommunenavn_2019";"endringsmerknad_18_19"
"1922";"Bardu";"1922";"Bardu";"uendret fra 2018 til 2019"
"1923";"Salangen";"1923";"Salangen";"uendret fra 2018 til 2019"
"1924";"Målselv";"1924";"Målselv";"uendret fra 2018 til 2019"
"1925";"Sørreisa";"1925";"Sørreisa";"uendret fra 2018 til 2019"
"1926";"Dyrøy";"1926";"Dyrøy";"uendret fra 2018 til 2019"
"1927";"Tranøy";"1927";"Tranøy";"uendret fra 2018 til 2019"
"1928";"Torsken";"1928";"Torsken";"uendret fra 2018 til 2019"
"1929";"Berg";"1929";"Berg";"uendret fra 2018 til 2019"
"1931";"Lenvik";"1931";"Lenvik";"uendret fra 2018 til 2019"
"1933";"Balsfjord";"1933";"Balsfjord";"uendret fra 2018 til 2019"
"1936";"Karlsøy";"1936";"Karlsøy";"uendret fra 2018 til 2019"
"1938";"Lyngen";"1938";"Lyngen";"uendret fra 2018 til 2019"
"1939";"Storfjord - Omasvuotna - Omasvuono";"1939";"Storfjord - Omasvuotna - Omasvuono";"uendret fra 2018 til 2019"
"1940";"Gáivuotna - Kåfjord - Kaivuono";"1940";"Gáivuotna - Kåfjord - Kaivuono";"uendret fra 2018 til 2019"
"1941";"Skjervøy";"1941";"Skjervøy";"uendret fra 2018 til 2019"
"1942";"Nordreisa";"1942";"Nordreisa - Ráisa - Raisi";"uendret fra 2018 til 2019"
"1943";"Kvænangen";"1943";"Kvænangen";"uendret fra 2018 til 2019"
"2002";"Vardø";"2002";"Vardø";"uendret fra 2018 til 2019"
"2003";"Vadsø";"2003";"Vadsø";"uendret fra 2018 til 2019"
"2004";"Hammerfest";"2004";"Hammerfest - Hámmerfeasta";"uendret fra 2018 til 2019"
"2011";"Guovdageaidnu - Kautokeino";"2011";"Guovdageaidnu - Kautokeino";"uendret fra 2018 til 2019"
"2012";"Alta";"2012";"Alta";"uendret fra 2018 til 2019"
